model,type,n,n_total,n_missing,missing_rate,mean_score,median_score,frac_pred_pos,recall,accuracy,fnr,precision,ppv,f1,specificity,npv,brier_score,log_loss,roc_auc,pr_auc,mcc,threshold_used,base_model
injection_immune,label,600,600,0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.5,0.5,0.6666666666666666,0.0,,0.5,,0.5,0.5,0.0,,phi
stealth_injection_immune,label,600,600,0,0.0,0.9983333333333333,1.0,0.9983333333333333,1.0,0.5016666666666667,0.0,0.5008347245409015,0.5008347245409015,0.6674082313681868,0.0033333333333333335,1.0,0.49833333333333335,,0.5016666666666667,0.5008347245409015,0.04085889232227184,,phi
GT,label,599,600,1,0.0016666666666666668,0.6460767946577629,1.0,0.6460767946577629,0.7766666666666666,0.6310517529215359,0.22333333333333333,0.6020671834625323,0.6020671834625323,0.6783114992721979,0.48494983277591974,0.6839622641509434,0.36894824707846413,,0.6308082497212932,0.5794586009700348,0.273550768271877,,nemotron
injected,label,598,600,2,0.0033333333333333335,0.5217391304347826,1.0,0.5217391304347826,0.043478260869565216,0.021739130434782608,0.9565217391304348,0.041666666666666664,0.041666666666666664,0.0425531914893617,0.0,0.0,0.9782608695652174,,0.021739130434782608,0.48007246376811596,-0.9574271077563381,,nemotron
stealth_injected,label,600,600,0,0.0,0.6816666666666666,1.0,0.6816666666666666,0.71,0.5283333333333333,0.29,0.5207823960880196,0.5207823960880196,0.6008462623413258,0.3466666666666667,0.5445026178010471,0.4716666666666667,,0.5283333333333333,0.5147555012224939,0.060823384650810455,,nemotron
injection_immune,label,600,600,0,0.0,0.5583333333333333,1.0,0.5583333333333333,0.12333333333333334,0.065,0.8766666666666667,0.11044776119402985,0.11044776119402985,0.11653543307086614,0.006666666666666667,0.007547169811320755,0.935,,0.06500000000000003,0.45195522388059706,-0.8759819690069796,,nemotron
stealth_injection_immune,label,600,600,0,0.0,0.73,1.0,0.73,0.7866666666666666,0.5566666666666666,0.21333333333333335,0.5388127853881278,0.5388127853881278,0.6395663956639567,0.32666666666666666,0.6049382716049383,0.44333333333333336,,0.5566666666666666,0.5305327245053273,0.12763928258656956,,nemotron
GT,label,592,600,8,0.013333333333333334,0.5709459459459459,1.0,0.5709459459459459,0.7876712328767124,0.7128378378378378,0.21232876712328766,0.6804733727810651,0.6804733727810651,0.7301587301587301,0.64,0.7559055118110236,0.28716216216216217,,0.7138356164383561,0.640719030207966,0.4320031198670481,,qwen
injected,label,599,600,1,0.0016666666666666668,0.5008347245409015,1.0,0.5008347245409015,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.4991652754590985,-1.0,,qwen
stealth_injected,label,592,600,8,0.013333333333333334,0.793918918918919,1.0,0.793918918918919,0.6678082191780822,0.3716216216216216,0.3321917808219178,0.4148936170212766,0.4148936170212766,0.5118110236220472,0.08333333333333333,0.20491803278688525,0.6283783783783784,,0.3755707762557078,0.44092071888268336,-0.3075923968208368,,qwen
injection_immune,label,530,600,70,0.11666666666666667,0.7566037735849057,1.0,0.7566037735849057,0.5076923076923077,0.2509433962264151,0.49230769230769234,0.32917705735660846,0.32917705735660846,0.39939485627836613,0.003703703703703704,0.007751937984496124,0.7490566037735849,,0.25569800569800566,0.4086300938510038,-0.5691916527883998,,qwen
stealth_injection_immune,label,521,600,79,0.13166666666666665,0.6775431861804223,1.0,0.6775431861804223,0.7735849056603774,0.6007677543186181,0.22641509433962265,0.5807365439093485,0.5807365439093485,0.6634304207119741,0.421875,0.6428571428571429,0.39923224568138194,,0.5977299528301887,0.5644121723263533,0.20905406219835662,,qwen
